"","scenario","quantile","coupling_strength","Tpeak","count","any_tippings_prob","number_of_tippings_mean","number_of_tippings_sd","number_of_tippings_se","GIS_tip_prob","THC_tip_prob","WAIS_tip_prob","AMAZ_tip_prob","Tconv"
"166","GS-NZGHG",0.7,0,1.91,1000,0.136,0.139,0.354689730334563,0.0112162741052813,0.043,0.058,0.038,0,0
"167","GS-NZGHG",0.7,0.1,1.91,1000,0.144,0.149,0.370048558889149,0.0117019629095266,0.044,0.064,0.04,0.001,0
"168","GS-NZGHG",0.7,0.2,1.91,1000,0.147,0.171,0.449400668625405,0.0142112969485885,0.04,0.076,0.051,0.004,0
"169","GS-NZGHG",0.7,0.3,1.91,1000,0.152,0.192,0.503377978649632,0.0159182093650445,0.035,0.089,0.061,0.007,0
"170","GS-NZGHG",0.7,0.4,1.91,1000,0.154,0.205,0.53596852730572,0.0169488130045222,0.024,0.094,0.072,0.015,0
"171","GS-NZGHG",0.7,0.5,1.91,1000,0.157,0.228,0.590223995076754,0.0186645215412655,0.022,0.102,0.077,0.027,0
"172","GS-NZGHG",0.7,0.6,1.91,1000,0.163,0.253,0.63984404381099,0.0202336452573529,0.022,0.113,0.081,0.037,0
"173","GS-NZGHG",0.7,0.7,1.91,1000,0.172,0.275,0.672180650440659,0.0212562185448594,0.024,0.119,0.089,0.043,0
"174","GS-NZGHG",0.7,0.8,1.91,1000,0.183,0.302,0.709435902178131,0.022434333047793,0.025,0.127,0.102,0.048,0
"175","GS-NZGHG",0.7,0.9,1.91,1000,0.188,0.316,0.724340160883454,0.0229056470912452,0.03,0.127,0.11,0.049,0
"176","GS-NZGHG",0.7,1,1.91,1000,0.206,0.352,0.765952141248187,0.0242215334502728,0.04,0.135,0.124,0.053,0
"177","GS-NZGHG",0.8,0,2.06,1000,0.201,0.21,0.429050211611746,0.0135677589927034,0.074,0.083,0.053,0,0
"178","GS-NZGHG",0.8,0.1,2.06,1000,0.204,0.216,0.439929014202902,0.0139117769367374,0.068,0.087,0.059,0.002,0
"179","GS-NZGHG",0.8,0.2,2.06,1000,0.208,0.254,0.547525144430631,0.0173142653261345,0.064,0.107,0.078,0.005,0
"180","GS-NZGHG",0.8,0.3,2.06,1000,0.215,0.29,0.623127826604051,0.0197050320549927,0.056,0.122,0.1,0.012,0
